elo_diff,fifa_diff,form_diff,gs_diff,gc_diff,mv_diff,inj_diff,susp_diff,home_adv,h2h_factor,target
0,0,-1.4,-1.4000000000000001,0.0,120.0,2,0,1,0.5,0
0,0,-1.8,-1.2,-0.19999999999999996,310.0,1,0,1,0.5,0
0,0,0.0,-1.6,-0.6000000000000001,-140.0,-1,0,1,0.5,1
0,0,0.3999999999999999,-0.19999999999999996,0.19999999999999996,-340.0,-3,0,1,0.5,0
0,0,-0.6,-0.3999999999999999,0.0,-400.0,1,0,1,0.0,0
0,0,0.4,0.0,-0.6000000000000001,600.0,3,0,1,0.3333333333333333,1
0,0,-0.19999999999999996,0.19999999999999996,0.6,30.0,3,0,1,0.0,0
0,0,0.0,-0.19999999999999996,0.0,-30.0,-1,0,1,0.3333333333333333,1
0,0,-0.6000000000000001,-1.0,-0.8,480.0,-1,0,1,0.0,2
0,0,1.6,1.6,-0.6000000000000001,350.0,0,0,1,1.0,1
0,0,-0.6000000000000001,-1.2,0.0,90.0,2,0,1,1.0,1
0,0,0.40000000000000013,-0.3999999999999999,-0.19999999999999996,700.0,0,0,1,0.3333333333333333,1
0,0,-1.8,-2.6,0.0,-1180.0,2,0,1,0.0,1
0,0,0.0,0.19999999999999996,-0.19999999999999996,-360.0,-2,0,1,0.0,1
0,0,1.7999999999999998,1.2,0.19999999999999996,270.0,-1,0,1,0.5,2
0,0,0.19999999999999996,-0.19999999999999996,-0.40000000000000013,240.0,0,0,1,0.5,2
0,0,-0.2,-0.19999999999999996,0.20000000000000018,-80.0,0,0,1,0.5,2
0,0,-1.5999999999999999,-0.3999999999999999,1.2000000000000002,-770.0,-1,0,1,0.5,0
0,0,-0.20000000000000018,-0.40000000000000013,-0.40000000000000013,-510.0,1,0,1,0.5,1
0,0,-0.20000000000000018,-0.3999999999999999,-0.20000000000000007,-70.0,-3,0,1,0.5,0
0,0,0.5999999999999999,0.5999999999999999,-0.8,220.0,0,0,1,0.5,2
0,0,0.19999999999999996,0.4,0.19999999999999996,690.0,3,0,1,0.5,1
0,0,-0.20000000000000018,-0.40000000000000013,0.0,-580.0,-3,0,1,0.5,1
0,0,1.4000000000000001,0.8000000000000003,-1.0,310.0,-3,0,1,0.5,1
0,0,-0.39999999999999997,-0.19999999999999996,0.7999999999999998,90.0,-1,0,1,1.0,0
0,0,-0.4,1.4,1.5999999999999999,-420.0,-5,0,1,1.0,2
0,0,-2.1999999999999997,-1.8000000000000003,0.40000000000000013,-210.0,0,0,1,1.0,1
0,0,0.8000000000000003,1.6,0.4,330.0,1,0,1,0.0,2
0,0,0.0,-0.3999999999999999,0.0,-40.0,-2,0,1,1.0,1
0,0,1.0000000000000002,0.0,-0.3999999999999999,-610.0,-3,0,1,0.0,2
0,0,1.2000000000000002,0.8,-0.7999999999999999,770.0,-3,0,1,0.0,1
0,0,-0.7999999999999999,-0.8,0.19999999999999996,-480.0,1,0,1,0.0,1
0,0,0.0,0.0,0.19999999999999996,430.0,-1,0,1,0.3333333333333333,2
