home_team,away_team,raw_home_xg,raw_away_xg,clipped_home_xg,clipped_away_xg,final_home_xg,final_away_xg,home_clipped,away_clipped,actual_home_score,actual_away_score,match_status
Philippines,Guam,2.046206474304199,0.12363850325345993,2.046206474304199,0.12363850325345993,2.0462,0.1236,False,False,5.0,1.0,FINISHED
Poland,Nigeria,1.051520586013794,1.4133213758468628,1.051520586013794,1.4133213758468628,1.0515,1.4133,False,False,2.0,2.0,FINISHED
Panama,Dominican Republic,1.784473180770874,0.45490172505378723,1.784473180770874,0.45490172505378723,1.7845,0.4549,False,False,4.0,2.0,FINISHED
Netherlands,Algeria,1.283005952835083,0.9730526804924011,1.283005952835083,0.9730526804924011,1.283,0.9731,False,False,0.0,1.0,FINISHED
Luxembourg,Italy,1.003240704536438,2.1417500972747803,1.003240704536438,2.1417500972747803,1.0032,2.1418,False,False,0.0,1.0,FINISHED
South Korea,El Salvador,2.1315271854400635,0.4160745441913605,2.1315271854400635,0.4160745441913605,2.1315,0.4161,False,False,1.0,0.0,FINISHED
Gibraltar,British Virgin Islands,1.3193066120147705,0.8874295353889465,1.3193066120147705,0.8874295353889465,1.3193,0.8874,False,False,4.0,0.0,FINISHED
Congo DR,Denmark,1.4620131254196167,1.410683512687683,1.4620131254196167,1.410683512687683,1.462,1.4107,False,False,0.0,0.0,FINISHED
Albania,Israel,0.5346192121505737,0.8656688928604126,0.5346192121505737,0.8656688928604126,0.5346,0.8657,False,False,0.0,1.0,FINISHED
Wales,Ghana,1.6644700765609741,1.0082199573516846,1.6644700765609741,1.0082199573516846,1.6645,1.0082,False,False,1.0,1.0,FINISHED
Morocco,Madagascar,3.150867223739624,0.17313343286514282,3.150867223739624,0.17313343286514282,3.1509,0.1731,False,False,4.0,0.0,FINISHED
Haiti,New Zealand,1.351555585861206,1.4155353307724,1.351555585861206,1.4155353307724,1.3516,1.4155,False,False,4.0,0.0,FINISHED
Georgia,Romania,1.4822149276733398,0.6739993691444397,1.4822149276733398,0.6739993691444397,1.4822,0.674,False,False,1.0,1.0,FINISHED
Croatia,Belgium,1.3520846366882324,1.714730143547058,1.3520846366882324,1.714730143547058,1.3521,1.7147,False,False,0.0,2.0,FINISHED
Turkey,North Macedonia,3.0555851459503174,0.4785478711128235,3.0555851459503174,0.4785478711128235,3.0556,0.4785,False,False,4.0,0.0,FINISHED
Slovakia,Malta,2.329279899597168,0.2251698076725006,2.329279899597168,0.2251698076725006,2.3293,0.2252,False,False,2.0,1.0,FINISHED
Norway,Sweden,2.7942306995391846,1.151594638824463,2.7942306995391846,1.151594638824463,2.7942,1.1516,False,False,3.0,1.0,FINISHED
Colombia,Costa Rica,2.4392383098602295,0.10916472226381302,2.4392383098602295,0.10916472226381302,2.4392,0.1092,False,False,3.0,1.0,FINISHED
Canada,Uzbekistan,1.7859704494476318,1.4868192672729492,1.7859704494476318,1.4868192672729492,1.786,1.4868,False,False,2.0,0.0,FINISHED
Bulgaria,Montenegro,1.2635679244995117,1.7821677923202515,1.2635679244995117,1.7821677923202515,1.2636,1.7822,False,False,0.0,1.0,FINISHED
Austria,Tunisia,1.7340315580368042,0.4241895079612732,1.7340315580368042,0.4241895079612732,1.734,0.4242,False,False,1.0,0.0,FINISHED
Japan,Iceland,2.544785976409912,0.23512065410614014,2.544785976409912,0.23512065410614014,2.5448,0.2351,False,False,1.0,0.0,FINISHED
United States,Senegal,1.8673664331436157,2.5648491382598877,1.8673664331436157,2.5648491382598877,1.8674,2.5648,False,False,3.0,2.0,FINISHED
Switzerland,Jordan,2.697394371032715,0.4914713501930237,2.697394371032715,0.4914713501930237,2.6974,0.4915,False,False,4.0,1.0,FINISHED
Singapore,Mongolia,3.0308139324188232,0.871421217918396,3.0308139324188232,0.871421217918396,3.0308,0.8714,False,False,4.0,0.0,FINISHED
Poland,Ukraine,1.3726886510849,1.3284636735916138,1.3726886510849,1.3284636735916138,1.3727,1.3285,False,False,0.0,2.0,FINISHED
Germany,Finland,3.25607967376709,0.7848697900772095,3.25607967376709,0.7848697900772095,3.2561,0.7849,False,False,4.0,0.0,FINISHED
Czechia,Kosovo,1.400071144104004,1.3827989101409912,1.400071144104004,1.3827989101409912,1.4001,1.3828,False,False,2.0,1.0,FINISHED
Cape Verde,Serbia,0.5708823204040527,0.8882060050964355,0.5708823204040527,0.8882060050964355,0.5709,0.8882,False,False,3.0,0.0,FINISHED
Brazil,Panama,2.1757659912109375,0.46567317843437195,2.1757659912109375,0.46567317843437195,2.1758,0.4657,False,False,6.0,2.0,FINISHED
Scotland,Curaçao,1.603413462638855,1.105276346206665,1.603413462638855,1.105276346206665,1.6034,1.1053,False,False,4.0,1.0,FINISHED
Mexico,Australia,1.9170726537704468,1.2308963537216187,1.9170726537704468,1.2308963537216187,1.9171,1.2309,False,False,1.0,0.0,FINISHED
South Korea,Trinidad and Tobago,2.205899715423584,0.5656189918518066,2.205899715423584,0.5656189918518066,2.2059,0.5656,False,False,5.0,0.0,FINISHED
Ecuador,Saudi Arabia,1.8324612379074097,0.7806910276412964,1.8324612379074097,0.7806910276412964,1.8325,0.7807,False,False,2.0,1.0,FINISHED
South Africa,Nicaragua,1.5806443691253662,0.7417307496070862,1.5806443691253662,0.7417307496070862,1.5806,0.7417,False,False,0.0,0.0,FINISHED
Iran,Gambia,3.0873563289642334,1.509677529335022,3.0873563289642334,1.509677529335022,3.0874,1.5097,False,False,3.0,1.0,FINISHED
Bosnia and Herzegovina,North Macedonia,1.2718254327774048,1.03915274143219,1.2718254327774048,1.03915274143219,1.2718,1.0392,False,False,0.0,0.0,FINISHED
Andorra,Iraq,0.2693933844566345,2.270418882369995,0.2693933844566345,2.270418882369995,0.2694,2.2704,False,False,0.0,1.0,FINISHED
Egypt,Russia,1.8365888595581055,1.708644986152649,1.8365888595581055,1.708644986152649,1.8366,1.7086,False,False,1.0,0.0,FINISHED
Republic of Ireland,Qatar,1.6747839450836182,1.3953007459640503,1.6747839450836182,1.3953007459640503,1.6748,1.3953,False,False,1.0,0.0,FINISHED
Morocco,Burundi,3.328806161880493,0.5413278341293335,3.328806161880493,0.5413278341293335,3.3288,0.5413,False,False,5.0,0.0,FINISHED
West Ham United FC,Leeds United FC,1.1560174226760864,1.5034798383712769,1.1560174226760864,1.5034798383712769,1.156,1.5035,False,False,3.0,0.0,FINISHED
Tottenham Hotspur FC,Everton FC,0.7979332804679871,2.155853033065796,0.7979332804679871,2.155853033065796,0.7979,2.1559,False,False,1.0,0.0,FINISHED
Nottingham Forest FC,AFC Bournemouth,1.1520615816116333,1.3069391250610352,1.1520615816116333,1.3069391250610352,1.1521,1.3069,False,False,1.0,1.0,FINISHED
Manchester City FC,Aston Villa FC,2.507780075073242,0.949489951133728,2.507780075073242,0.949489951133728,2.5078,0.9495,False,False,1.0,2.0,FINISHED
Liverpool FC,Brentford FC,1.495840311050415,0.9545307159423828,1.495840311050415,0.9545307159423828,1.4958,0.9545,False,False,1.0,1.0,FINISHED
Fulham FC,Newcastle United FC,1.372328758239746,1.171284556388855,1.372328758239746,1.171284556388855,1.3723,1.1713,False,False,2.0,0.0,FINISHED
Burnley FC,Wolverhampton Wanderers FC,1.7350471019744873,0.9785151481628418,1.7350471019744873,0.9785151481628418,1.735,0.9785,False,False,1.0,1.0,FINISHED
Crystal Palace FC,Arsenal FC,0.8951069712638855,1.863024353981018,0.8951069712638855,1.863024353981018,0.8951,1.863,False,False,1.0,2.0,FINISHED
Brighton & Hove Albion FC,Manchester United FC,1.157577395439148,0.772830069065094,1.157577395439148,0.772830069065094,1.1576,0.7728,False,False,0.0,3.0,FINISHED
Sunderland AFC,Chelsea FC,1.3480950593948364,1.1517373323440552,1.3480950593948364,1.1517373323440552,1.3481,1.1517,False,False,2.0,1.0,FINISHED
Mexico,Ghana,1.9818283319473267,0.9768021702766418,1.9818283319473267,0.9768021702766418,1.9818,0.9768,False,False,2.0,0.0,FINISHED
Chelsea FC,Tottenham Hotspur FC,3.054011344909668,1.2598187923431396,3.054011344909668,1.2598187923431396,3.054,1.2598,False,False,2.0,1.0,FINISHED
